"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 30 18:07:29 GMT 2021","Mon Aug 30 18:10:24 GMT 2021","175383","testproject","TC006newblog_test","","","","test_newpost",""
"passed","Mon Aug 30 18:06:25 GMT 2021","Mon Aug 30 18:06:35 GMT 2021","9679","testproject","TC002login_test","","","","test_login",""
"passed","Mon Aug 30 18:07:11 GMT 2021","Mon Aug 30 18:07:21 GMT 2021","10088","testproject","TC004logout_test","","","","test_sign_in",""
"passed","Mon Aug 30 18:07:21 GMT 2021","Mon Aug 30 18:07:29 GMT 2021","7937","testproject","TC005follow_test","","","","test_follow",""
"passed","Mon Aug 30 18:10:24 GMT 2021","Mon Aug 30 18:11:05 GMT 2021","40302","testproject","TC007postcomment_test","","","","test_comment",""
"passed","Mon Aug 30 18:06:35 GMT 2021","Mon Aug 30 18:07:11 GMT 2021","36091","testproject","TC003username_mod_test","","","","test_username_mod",""
"passed","Mon Aug 30 18:11:24 GMT 2021","Mon Aug 30 18:11:32 GMT 2021","7943","testproject","TC009cookies_test","","","","test_cookie",""
"passed","Mon Aug 30 18:11:32 GMT 2021","Mon Aug 30 18:11:42 GMT 2021","9762","testproject","TC010globalfeed_test","","","","test_Global",""
"passed","Mon Aug 30 18:05:49 GMT 2021","Mon Aug 30 18:06:25 GMT 2021","35773","testproject","TC001registration_test","TestUserReg","","","test_registration",""
"passed","Mon Aug 30 18:11:05 GMT 2021","Mon Aug 30 18:11:24 GMT 2021","19260","testproject","TC008postdelete_test","","","","test_blog_delete",""
