"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 01 12:54:27 GMT 2022","Fri Apr 01 12:54:46 GMT 2022","19565","testproject","TC008postdelete_test","","","","test_blog_delete",""
"passed","Fri Apr 01 12:50:32 GMT 2022","Fri Apr 01 12:50:42 GMT 2022","10236","testproject","TC004logout_test","","","","test_sign_in",""
"passed","Fri Apr 01 12:49:56 GMT 2022","Fri Apr 01 12:50:32 GMT 2022","36319","testproject","TC003username_mod_test","","","","test_username_mod",""
"passed","Fri Apr 01 12:49:46 GMT 2022","Fri Apr 01 12:49:56 GMT 2022","9816","testproject","TC002login_test","","","","test_login",""
"passed","Fri Apr 01 12:49:09 GMT 2022","Fri Apr 01 12:49:46 GMT 2022","36769","testproject","TC001registration_test","TestUserReg","","","test_registration",""
"passed","Fri Apr 01 12:50:50 GMT 2022","Fri Apr 01 12:53:46 GMT 2022","175684","testproject","TC006newblog_test","","","","test_newpost",""
"passed","Fri Apr 01 12:50:42 GMT 2022","Fri Apr 01 12:50:50 GMT 2022","8077","testproject","TC005follow_test","","","","test_follow",""
"passed","Fri Apr 01 12:54:46 GMT 2022","Fri Apr 01 12:54:55 GMT 2022","8351","testproject","TC009cookies_test","","","","test_cookie",""
"passed","Fri Apr 01 12:54:55 GMT 2022","Fri Apr 01 12:55:05 GMT 2022","9911","testproject","TC010globalfeed_test","","","","test_Global",""
"passed","Fri Apr 01 12:53:46 GMT 2022","Fri Apr 01 12:54:27 GMT 2022","40521","testproject","TC007postcomment_test","","","","test_comment",""
